,GSM5824838,GSM5824839,GSM5824847,GSM5824852,GSM5824855,GSM5824858,GSM5824868,GSM5824878,GSM5824885,GSM5824894,GSM5824904,GSM5824932,GSM5824943,GSM5824955,GSM5824967,GSM5824970,GSM5824979,GSM5824984
169270,0.2927,0.3073,0.4446,0.162,0.1971,0.3698,0.1082,0.4692,0.3188,0.286,0.1916,0.2259,0.2898,0.06005,0.03421,0.1742,0.2854,0.2152
101927566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105377773,0.1412,0,0,0,0,0,0,0,0,0,0,0.1634,0,0,0,0,0.1589,0.1298
157693,0,0.1053,0.04218,0.02498,0.02209,0,0.01334,0.07715,0.143,0.02519,0.01575,0.01393,0.08411,0.01851,0.01406,0,0.02708,0.06635
26260,0.5781,0.9559,0.8739,0.811,0.7406,0.3651,0.426,0.9979,1.783,0.5386,0.3825,0.4008,1.11,0.3177,0.2301,0.4026,1.058,0.7706
157695,0.25,0.1591,0.3386,0.1416,0.1252,0,0,0.07287,0.3713,0.2379,0.1339,0.2368,0.2383,0.1749,0.07969,0.3246,0.2302,0.2089
157697,2.769,2.445,1.808,2.942,1.951,1.013,0.8367,2.109,3.63,2.084,1.356,2.437,1.521,1.366,1.087,2.408,2.483,1.752
9228,0.008781,0,0,0,0,0,0,0,0,0,0,0,0.007672,0,0,0,0,0.00807
401442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105377777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112268020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105379585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1462,0,0,0
105377775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105379586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100507435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
