,GSM5824838,GSM5824839,GSM5824847,GSM5824852,GSM5824855,GSM5824858,GSM5824868,GSM5824878,GSM5824885,GSM5824894,GSM5824904,GSM5824932,GSM5824943,GSM5824955,GSM5824967,GSM5824970,GSM5824979,GSM5824984
IGLVI-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2913,0,0
IGLVI-63,0,0,0,0,0,0,0.6049,0,0,0,0,0,0,0,0,0,0,0
IGLVI-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLVI-70,0.276,0.2414,0.2418,0.2864,0.2533,0,0,0,0,0.2888,0,0,0,0,0.645,0,0.6209,0.5072
IGLVIV-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLVIV-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLVIV-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLVIV-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLVIV-66-1,0,0,0,0,0,0,0,0,0,0,0,0,0.5161,0,0,0,0,0
IGLVV-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLVV-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLVVI-22-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLVVI-25-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLVVII-41-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGSF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGSF10,0.05596,0.04196,0.007004,0.02489,0.04403,0.05864,0.008861,0.06407,0.08309,0.03347,0.01046,0.03701,0.04889,0,0.01868,0.02854,0.02698,0.1396
IGSF11,0,0.0185,0,0,0.01941,0,0.01172,0,0.0314,0.02213,0,0,0.09236,0,0,0,0.07136,0.01943
IGSF11-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGSF21,0,0.03622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGSF21-AS1,0,0,0,0.02892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGSF22,0.03578,0.05217,0.01045,0.06189,0.03284,0.01458,0,0.07647,0.05313,0,0.01561,0.04142,0.07294,0.009175,0.01394,0,0.1476,0.06576
IGSF23,0.02693,0,0,0.1398,0.04945,0,0.01493,0.04317,0.2,0.08457,0.03526,0.03118,0.09412,0,0.09442,0,0.1818,0
