GSM5824838	GSM5824839	GSM5824847	GSM5824852	GSM5824855	GSM5824858	GSM5824868	GSM5824878	GSM5824885	GSM5824894	GSM5824904	GSM5824932	GSM5824943	GSM5824955	GSM5824967	GSM5824970	GSM5824979	GSM5824984
2.259	3.646	4.559	4.674	4.094	3.154	2.997	4.695	10.04	3.478	2.032	2.396	4.966	2.231	1.89	3.2	5.723	4.795
0.05183	0.02721	0.0545	0.01076	0.02855	0.03802	0.05745	0.01662	0.03079	0.03255	0	0.012	0.05434	0.02392	0.0424	0	0.01166	0.009526
8.576	15.54	14.73	19.75	14.19	7.513	10.61	17.63	36.17	15.25	10.32	9.944	16.97	11.86	7.142	15.26	17.79	12.78
0.01682	0.05885	0.04421	0.1047	0.01544	0.02056	0	0.02696	0.07492	0.07041	0	0.03893	0.1469	0	0.01965	0.1801	0.03784	0.3091
0.05044	0.06618	0.1105	0.1047	0.06945	0.04625	0.04193	0.08084	0.07489	0.02639	0.03301	0.04379	0.1542	0.0388	0.02947	0	0.1419	0.1159
1015	896.5	818.8	1443	1048	632.9	544.7	1262	2225	1184	592.4	777	1018	579.3	593.4	1252	1526	1029
1.102	0.3945	1.039	2.34	0.6132	2.44	0.648	0.8566	2.356	2.622	0.2077	2.243	3.181	0.1927	0.6441	1.088	1.203	7.49
6.313	10.17	12.54	15.32	10.19	8.618	9.821	13.66	29.72	10.66	5.177	6.353	14.98	4.953	3.909	6.852	11.7	13.8
0.1457	0.5238	0.3829	0.2016	0.3714	0.3067	0.0897	0.4669	0.6729	0.2033	0.2013	0.1873	0.3535	0.112	0.1513	0.1445	0.6373	0.1933
46.24	53.72	57.44	56.42	57.89	49.05	40.53	63.9	106	58.4	26.47	31.29	56.79	25.16	18.45	33.26	58.54	54.41
24.71	29.59	34.57	31.55	32.57	21.81	20.84	38.88	44.54	22.02	15.55	19.66	35.62	14.64	14.65	21.2	45.02	38.02
7.44	10.25	12.67	12.27	11.39	6.967	6.249	12.63	21.03	8.689	4.663	6.708	12.2	4.958	3.936	7.085	12.71	12.42
3.413	4.602	4.957	6.008	5.591	3.424	3.982	6.377	11.23	4.224	2.086	3.078	6.128	2.321	1.509	2.676	6.046	5.303
17.15	22.85	22.96	30.26	23.03	11.1	13.84	29.6	48.47	17.19	11.85	18.44	27.33	11.98	10.13	16.51	32.05	25.13
